Mangrove type_x,time,spatial_ref_x,area_x,Mangrove type_y,spatial_ref_y,area_y,Mangrove type,spatial_ref,area
closed,2022-01-29 11:38:08,6933,7002.28,regular,6933,20979.08,total,6933,27981.36
closed,2022-02-03 11:38:02,6933,2924.24,regular,6933,24642.72,total,6933,27566.96
closed,2022-02-13 11:38:02,6933,3543.72,regular,6933,24009.0,total,6933,27552.72
closed,2022-02-18 11:38:09,6933,1470.52,regular,6933,24491.28,total,6933,25961.8
closed,2022-02-28 11:38:11,6933,3551.88,regular,6933,24092.52,total,6933,27644.4
closed,2022-03-05 11:38:05,6933,4.0,regular,6933,23147.32,total,6933,23151.32
closed,2022-03-15 11:38:06,6933,33.04,regular,6933,16996.2,total,6933,17029.24
closed,2022-03-30 11:38:10,6933,212.4,regular,6933,23054.24,total,6933,23266.64
closed,2022-04-04 11:38:04,6933,451.88,regular,6933,25799.88,total,6933,26251.76
closed,2022-04-14 11:38:04,6933,532.72,regular,6933,25332.12,total,6933,25864.84
closed,2022-05-04 11:38:03,6933,1916.08,regular,6933,23800.48,total,6933,25716.56
closed,2022-05-14 11:38:06,6933,2074.44,regular,6933,23723.8,total,6933,25798.24
closed,2022-05-19 11:38:14,6933,3092.0,regular,6933,21644.88,total,6933,24736.88
closed,2022-06-03 11:38:08,6933,7989.96,regular,6933,19769.4,total,6933,27759.36
closed,2022-06-18 11:38:19,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2022-06-23 11:38:12,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2022-07-03 11:38:13,6933,2314.96,regular,6933,6260.04,total,6933,8575.0
closed,2022-07-18 11:38:20,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2022-07-23 11:38:13,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2022-08-02 11:38:12,6933,1111.0,regular,6933,2479.52,total,6933,3590.52
closed,2022-08-17 11:38:20,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2022-08-22 11:38:09,6933,5190.96,regular,6933,5552.36,total,6933,10743.32
closed,2022-09-01 11:38:09,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2022-09-06 11:38:19,6933,7442.72,regular,6933,12110.84,total,6933,19553.56
closed,2022-09-16 11:38:17,6933,6375.16,regular,6933,6077.96,total,6933,12453.12
closed,2022-09-21 11:38:09,6933,0.0,regular,6933,0.16,total,6933,0.16
closed,2022-10-01 11:38:07,6933,567.72,regular,6933,674.28,total,6933,1242.0
closed,2022-10-06 11:38:14,6933,10795.24,regular,6933,12618.48,total,6933,23413.72
closed,2022-10-16 11:38:11,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2022-10-21 11:38:07,6933,73.08,regular,6933,94.08,total,6933,167.16
closed,2022-11-05 11:38:12,6933,5538.84,regular,6933,13264.08,total,6933,18802.92
closed,2022-11-20 11:38:07,6933,16212.84,regular,6933,11237.0,total,6933,27449.84
closed,2022-12-05 11:38:08,6933,17810.52,regular,6933,10970.44,total,6933,28780.96
closed,2022-12-10 11:38:04,6933,10182.88,regular,6933,18342.44,total,6933,28525.32
closed,2022-12-20 11:38:07,6933,10509.32,regular,6933,17719.68,total,6933,28229.0
closed,2023-01-04 11:38:07,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2023-01-09 11:38:04,6933,3588.64,regular,6933,1816.64,total,6933,5405.28
closed,2023-01-19 11:38:05,6933,15461.24,regular,6933,12725.88,total,6933,28187.12
closed,2023-01-24 11:38:04,6933,7502.44,regular,6933,14378.48,total,6933,21880.92
closed,2023-02-03 11:38:06,6933,5002.28,regular,6933,19880.16,total,6933,24882.44
closed,2023-02-08 11:38:06,6933,1615.04,regular,6933,26273.52,total,6933,27888.56
closed,2023-02-18 11:38:06,6933,0.0,regular,6933,430.16,total,6933,430.16
closed,2023-02-23 11:38:09,6933,3026.04,regular,6933,24381.48,total,6933,27407.52
closed,2023-03-05 11:38:04,6933,4966.64,regular,6933,22483.16,total,6933,27449.8
closed,2023-03-10 11:38:12,6933,3636.92,regular,6933,23470.92,total,6933,27107.84
closed,2023-03-25 11:38:06,6933,3358.52,regular,6933,23302.72,total,6933,26661.24
closed,2023-04-04 11:38:07,6933,624.4,regular,6933,24512.24,total,6933,25136.64
closed,2023-04-09 11:38:10,6933,4173.24,regular,6933,20181.44,total,6933,24354.68
closed,2023-04-24 11:38:07,6933,6182.92,regular,6933,20189.48,total,6933,26372.4
closed,2023-05-09 11:38:10,6933,7.76,regular,6933,8.68,total,6933,16.44
closed,2023-05-24 11:38:11,6933,9247.84,regular,6933,17677.76,total,6933,26925.6
closed,2023-05-29 11:38:12,6933,265.28,regular,6933,7911.6,total,6933,8176.88
closed,2023-06-08 11:38:13,6933,11002.56,regular,6933,16342.36,total,6933,27344.92
